iter	Passed	Remaining
0	94	94606
1	96	48169
2	98	32698
3	100	24938
4	101	20288
5	103	17194
6	105	14975
7	107	13309
8	109	12021
9	111	10991
10	112	10143
11	114	9437
12	116	8870
13	118	8373
14	121	7956
15	123	7598
16	125	7272
17	127	6969
18	129	6690
19	131	6438
20	133	6229
21	135	6025
22	137	5835
23	139	5673
24	141	5511
25	143	5361
26	145	5229
27	146	5100
28	148	4979
29	150	4876
30	152	4771
31	154	4672
32	156	4584
33	158	4497
34	160	4413
35	162	4338
36	163	4265
37	165	4195
38	167	4133
39	169	4071
40	171	4010
41	173	3954
42	175	3898
43	177	3846
44	179	3799
45	180	3752
46	182	3705
47	184	3662
48	186	3618
49	188	3578
50	190	3537
51	191	3500
52	193	3462
53	195	3426
54	197	3394
55	199	3360
56	201	3327
57	203	3298
58	204	3268
59	206	3238
60	208	3210
61	210	3187
62	212	3163
63	214	3142
64	216	3117
65	218	3091
66	220	3072
67	222	3053
68	224	3031
69	226	3013
70	228	2992
71	230	2973
72	232	2957
73	234	2940
74	236	2921
75	238	2903
76	240	2886
77	243	2873
78	245	2859
79	247	2845
80	249	2832
81	251	2819
82	253	2804
83	255	2791
84	258	2777
85	260	2765
86	262	2753
87	264	2740
88	266	2728
89	268	2716
90	270	2705
91	272	2694
92	274	2679
93	276	2665
94	278	2654
95	280	2639
96	282	2626
97	283	2613
98	285	2601
99	287	2587
100	289	2574
101	291	2563
102	292	2550
103	294	2537
104	296	2528
105	298	2516
106	300	2504
107	302	2495
108	304	2487
109	306	2477
110	308	2468
111	310	2459
112	312	2451
113	314	2443
114	316	2434
115	318	2424
116	320	2417
117	322	2409
118	324	2401
119	326	2393
120	328	2384
121	330	2375
122	332	2367
123	333	2358
124	335	2349
125	337	2342
126	339	2332
127	341	2323
128	343	2316
129	344	2308
130	346	2300
131	348	2292
132	350	2284
133	352	2276
134	354	2268
135	355	2261
136	357	2253
137	359	2246
138	361	2239
139	363	2231
140	365	2225
141	367	2219
142	369	2212
143	370	2204
144	372	2197
145	374	2190
146	376	2183
147	378	2177
148	379	2169
149	381	2162
150	383	2155
151	385	2149
152	386	2142
153	388	2135
154	390	2129
155	392	2123
156	393	2114
157	395	2108
158	397	2102
159	399	2095
160	401	2090
161	402	2084
162	404	2078
163	406	2071
164	408	2066
165	410	2060
166	411	2054
167	413	2049
168	415	2043
169	417	2037
170	419	2033
171	421	2028
172	423	2023
173	425	2017
174	426	2012
175	428	2007
176	430	2002
177	432	1998
178	434	1993
179	436	1988
180	438	1983
181	440	1977
182	441	1972
183	443	1967
184	445	1962
185	447	1957
186	449	1953
187	451	1948
188	452	1943
189	454	1938
190	456	1933
191	458	1927
192	460	1923
193	461	1918
194	463	1913
195	465	1909
196	467	1904
197	469	1899
198	470	1894
199	472	1891
200	474	1887
201	476	1883
202	478	1878
203	480	1874
204	482	1869
205	484	1865
206	485	1861
207	487	1856
208	489	1852
209	491	1847
210	492	1843
211	494	1839
212	496	1834
213	498	1830
214	500	1826
215	502	1822
216	504	1818
217	505	1814
218	507	1811
219	509	1806
220	511	1802
221	513	1799
222	515	1795
223	517	1792
224	519	1789
